timestamp,dataset,model,k,recall,ndcg
20230325_12:15:06 - ,yelp,emb_nn_kneighbors,30,0.0024723374827109196,0.037989514609603786,
20230325_15:54:17 - ,Amazon,random,50,0.019600000000000017,0.019473047291264922,
20230325_15:54:17 - ,Amazon,emb_dot,50,0.019600000000000017,0.020947698763533255,
20230325_15:54:17 - ,Amazon,emb_nn,50,0.019600000000000017,0.027751337643856875,
20230325_15:54:17 - ,Amazon,emb_dot_random_forest,50,0.019600000000000017,0.032543867674369724,
20230325_15:54:17 - ,Amazon,emb_dot_kneighbors,50,0.019600000000000017,0.03222209644007093,
20230325_15:54:17 - ,Amazon,emb_nn_random_forest,50,0.019600000000000017,0.02185879933980991,
20230325_15:54:17 - ,Amazon,emb_nn_kneighbors,50,0.019600000000000017,0.027896336945544043,
20230325_16:04:17 - ,Movielens,random,50,0.02669999999999988,0.03120370173354158,
20230325_16:04:17 - ,Movielens,emb_dot,50,0.02669999999999988,0.03835260046991677,
20230325_16:04:17 - ,Movielens,emb_nn,50,0.02669999999999988,0.04462941531989251,
20230325_16:04:17 - ,Movielens,emb_dot_random_forest,50,0.02669999999999988,0.043404219502905746,
20230325_16:04:17 - ,Movielens,emb_dot_kneighbors,50,0.02669999999999988,0.04263972502569638,
20230325_16:04:17 - ,Movielens,emb_nn_random_forest,50,0.02669999999999988,0.041593295446679876,
20230325_16:04:17 - ,Movielens,emb_nn_kneighbors,50,0.02669999999999988,0.044643125836325834,
20230325_16:17:47 - ,yelp,random,50,0.0029287690179805896,0.026435137497384985,
20230325_16:17:47 - ,yelp,emb_dot,50,0.0029287690179805896,0.026506986140817125,
20230325_16:17:47 - ,yelp,emb_nn,50,0.0029287690179805896,0.03999899456852052,
20230325_16:17:47 - ,yelp,emb_dot_random_forest,50,0.0029287690179805896,0.03713485531120877,
20230325_16:17:47 - ,yelp,emb_dot_kneighbors,50,0.0029287690179805896,0.031314252834078356,
20230325_16:17:47 - ,yelp,emb_nn_random_forest,50,0.0029287690179805896,0.03949604164188827,
